Sample in Buffer	Sample in Window	/vad	/DP_main/scr_o<0>	/DP_main/scr_o<1>	/DP_main/scr_o<2>	/DP_main/scr_o<3>	/DP_main/scr_o<4>	/DP_main/scr_o<5>	/DP_main/scr_o<6>	/DP_main/scr_o<7>	/DP_main/scr_o<8>	/DP_main/scr_o<9>	/DP_main/scr_o<10>	/DP_main/scr_o<11>	/DP_main/scr_o<12>	/DP_main/scr_o<13>	/DP_main/scr_o<14>	/DP_main/scr_o<15>	/DP_main/scr_o<16>	/DP_main/scr_o<17>	/DP_main/scr_o<18>	/DP_main/scr_o<19>	/DP_main/scr_o<20>	/DP_main/scr_o<21>	/DP_main/scr_o<22>	/DP_main/scr_o<23>	/DP_main/len_o<0>	/DP_main/len_o<1>	/DP_main/len_o<2>	/DP_main/len_o<3>	/DP_main/len_o<4>	/DP_main/len_o<5>	/DP_main/len_o<6>	/DP_main/len_o	/DP_main/scr_o
72	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	067E3F	
73	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	066E1F	
74	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06EFBF	
75	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FDAA	
76	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06767F	
77	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06DF7F	
78	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FFFB	
79	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	0676F5	
80	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	067FF9	
81	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	06FEF9	
82	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	06D67C	
83	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	3E	069FF9	
84	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06BFEB	
85	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	3E	06A6E3	
86	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06AEFF	
87	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	3E	06BAFE	
88	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06BEE8	
89	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06BEFE	
90	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06DEFB	
91	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06FCDF	
92	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093A7D	
93	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093A7F	
94	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	09737B	
95	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	096B32	
96	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	096B32	
97	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	096CBD	
98	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0966FF	
99	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	096EFB	
100	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	096EFB	
101	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	0962FF	
